1574936788	728	1469	723	
1574936798	1700	3359	1710	
1574936808	2747	5268	2656	
1574936818	3671	7254	3594	
1574936828	4677	9308	4505	
1574936838	5480	11056	5357	
1574936848	6457	13074	6321	
1574936858	7410	15145	7268	
1574936868	8408	17234	8229	
1574936878	9315	19122	9105	
1574936888	10228	21133	10071	
1574936898	11196	23127	11043	
1574936908	12098	24998	11949	
1574936918	13081	26988	12934	
1574936928	14087	29054	13886	
1574936938	15039	31062	14914	
1574936948	16035	33097	15924	
1574936958	17032	35016	16907	
1574936968	17935	36885	17824	
1574936978	18915	39031	18843	
1574936988	19877	41038	19761	
1574936998	20827	42908	20662	
1574937008	21832	44985	21663	
1574937018	22805	46988	22615	
1574937028	23753	49000	23540	
1574937038	24711	51027	24527	
1574937048	25666	53019	25472	
1574937058	26585	55029	26488	
1574937068	27626	57135	27456	
1574937078	28571	59041	28379	
1574937088	29506	60970	29312	
1574937098	30495	62969	30294	
1574937108	31421	64960	31302	
1574937118	32373	66905	32324	
1574937128	33377	68842	33305	
1574937138	34368	70709	34313	
1574937148	35369	72709	35289	
1574937158	36349	74611	36266	
1574937168	37286	76484	37208	
1574937178	38274	78464	38261	
1574937188	39300	80517	39224	
1574937198	40279	82632	40195	
1574937208	41278	84719	41154	
1574937218	42273	86696	42130	
1574937228	43135	88516	43021	
1574937238	44128	90553	43992	
1574937248	45132	92580	45020	
1574937258	46150	94569	46001	
1574937268	46989	96389	46889	
1574937278	47991	98463	47861	
1574937288	48955	100505	48854	
1574937298	49886	102337	49722	
1574937308	50876	104332	50687	
1574937318	51868	106361	51736	
1574937328	52800	108095	52625	
1574937338	53478	109507	53348	
1574937348	54163	110928	54005	
1574937358	54804	112172	54588	
1574937368	55596	113755	55293	
1574937378	56352	115265	56009	
1574937388	57293	117167	57002	
1574937398	58206	118977	57884	
1574937408	59126	120949	58892	
1574937418	60119	123024	59859	
1574937428	61104	125087	60883	
1574937438	62053	127081	61810	
1574937448	62949	128889	62714	
1574937458	63774	130680	63597	
1574937468	64643	132420	64504	
1574937478	65415	133911	65290	
1574937488	66163	135427	66034	
1574937498	66906	136923	66776	
1574937508	67693	138558	67621	
1574937518	68513	140226	68431	
1574937528	69224	141780	69173	
1574937538	69942	143269	69860	
1574937548	70681	144871	70637	
